"x","x","y"
"1955-08-25",0:00,1.510
"1955-08-25",1:00,1.510
"1955-08-25",2:00,1.512
"1955-08-25",3:00,1.514
"1955-08-25",4:00,1.516
"1955-08-25",5:00,1.518
"1955-08-25",6:00,1.519
"1955-08-25",7:00,1.518
"1955-08-25",8:00,1.517
"1955-08-25",9:00,1.515
"1955-08-25",10:00,1.513
"1955-08-25",11:00,1.511
"1955-08-25",12:00,1.509
"1955-08-25",13:00,1.504
"1955-08-25",14:00,1.500
"1955-08-25",15:00,1.495
"1955-08-25",16:00,1.492
"1955-08-25",17:00,1.4885
"1955-08-25",18:00,1.487
"1955-08-25",19:00,1.485
"1955-08-25",20:00,1.482
"1955-08-25",21:00,1.4805
"1955-08-25",22:00,1.480
"1955-08-25",23:00,1.4795
"1955-08-26",0:00,1.479
"1955-08-26",1:00,1.479
"1955-08-26",2:00,1.4788
"1955-08-26",3:00,1.4786
"1955-08-26",4:00,1.4789
"1955-08-26",5:00,1.479
"1955-08-26",6:00,1.4792
"1955-08-26",7:00,1.4795
"1955-08-26",10:00,1.482
"1955-08-26",11:30,1.4835
"1955-08-26",12:00,1.4836
"1955-08-26",13:00,1.482
"1955-08-26",14:00,1.478
"1955-08-26",15:00,1.473
"1955-08-26",16:00,1.467
"1955-08-26",17:00,1.462
"1955-08-26",18:00,1.458
"1955-08-26",19:00,1.455
"1955-08-26",20:00,1.4515
"1955-08-26",21:00,1.449
"1955-08-26",22:00,1.448
"1955-08-26",23:00,1.445
"1955-08-27",0:00,1.4445
"1955-08-27",1:00,1.4447
"1955-08-27",2:00,1.445
"1955-08-27",3:00,1.451
"1955-08-27",4:00,1.455
"1955-08-27",5:00,1.458
"1955-08-27",6:00,1.458
"1955-08-27",7:00,1.4595
"1955-08-27",8:00,1.460
"1955-08-27",9:00,1.461
"1955-08-27",10:00,1.462
"1955-08-27",11:00,1.465
"1955-08-27",11:30,1.4653
"1955-08-27",12:30,1.46545
"1955-08-27",13:00,1.46548
"1955-08-27",13:30,1.4654
"1955-08-27",15:00,1.465
"1955-08-27",16:00,1.456
"1955-08-27",17:00,1.450
"1955-08-27",18:00,1.447
"1955-08-27",19:00,1.442
"1955-08-27",20:00,1.440
"1955-08-27",21:00,1.437
"1955-08-27",22:00,1.4345
"1955-08-27",23:00,1.434
"1955-08-28",0:00,1.4338
"1955-08-28",4:00,1.434
"1955-08-28",6:00,1.435
"1955-08-28",10:30,1.43605
"1955-08-28",11:00,1.436
"1955-08-28",12:00,1.433
"1955-08-28",13:00,1.429
"1955-08-28",14:00,1.423
"1955-08-28",15:00,1.416
"1955-08-28",16:00,1.410
"1955-08-28",17:00,1.405
"1955-08-28",18:00,1.400
"1955-08-28",19:00,1.398
"1955-08-28",20:00,1.393
"1955-08-28",21:00,1.390
"1955-08-28",22:00,1.390
"1955-08-28",23:00,1.390
"1955-08-29",0:00,1.395
"1955-08-29",1:00,1.397
"1955-08-29",2:00,1.399
"1955-08-29",3:00,1.400
"1955-08-29",4:00,1.401
"1955-08-29",5:00,1.402
"1955-08-29",6:00,1.403
"1955-08-29",7:00,1.403
"1955-08-29",8:00,1.405
"1955-08-29",9:00,1.408
"1955-08-29",10:00,1.408
"1955-08-29",11:00,1.409
"1955-08-29",12:00,1.410
"1955-08-29",13:00,1.411
"1955-08-29",14:00,1.414
"1955-08-29",15:00,1.414
"1955-08-29",16:00,1.411
"1955-08-29",17:00,1.407
"1955-08-29",18:00,1.408
"1955-08-29",19:00,1.407
"1955-08-29",20:00,1.408
"1955-08-29",23:00,1.408
"1955-08-30",0:00,1.409
