"dat","tim","y"
"1956-07-29",0:00,1.300
"1956-07-29",1:00,1.310
"1956-07-29",2:00,1.320
"1956-07-29",3:00,1.321
"1956-07-29",4:00,1.320
"1956-07-29",5:00,1.315
"1956-07-29",7:00,1.309
"1956-07-29",8:00,1.302
"1956-07-29",10:00,1.295
"1956-07-29",11:00,1.290
"1956-07-29",12:00,1.282
"1956-07-29",13:00,1.275
"1956-07-29",14:00,1.270
"1956-07-29",15:00,1.260
"1956-07-29",16:00,1.256
"1956-07-29",17:00,1.248
"1956-07-29",18:00,1.243
"1956-07-29",19:00,1.240
"1956-07-29",20:00,1.239
"1956-07-29",21:00,1.236
"1956-07-29",22:00,1.234
"1956-07-29",23:00,1.237
"1956-07-30",0:00,1.239
"1956-07-30",1:00,1.240
"1956-07-30",5:00,1.253
"1956-07-30",6:00,1.254
"1956-07-30",7:00,1.257
"1956-07-30",8:00,1.258
"1956-07-30",9:00,1.258
"1956-07-30",10:00,1.256
"1956-07-30",11:00,1.254
"1956-07-30",12:00,1.251
"1956-07-30",13:00,1.245
"1956-07-30",14:00,1.238
"1956-07-30",15:00,1.233
"1956-07-30",16:00,1.229
"1956-07-30",17:00,1.226
"1956-07-30",18:00,1.222
"1956-07-30",19:00,1.219
"1956-07-30",21:00,1.218
"1956-07-30",22:00,1.220
"1956-07-30",23:00,1.221
"1956-07-31",0:00,1.222
"1956-07-31",1:00,1.225
"1956-07-31",5:00,1.230
"1956-07-31",6:00,1.232
"1956-07-31",7:00,1.236
"1956-07-31",8:00,1.237
"1956-07-31",9:00,1.239
"1956-07-31",10:00,1.239
"1956-07-31",11:00,1.237
"1956-07-31",12:00,1.233
"1956-07-31",13:00,1.229
"1956-07-31",14:00,1.222
"1956-07-31",15:00,1.218
"1956-07-31",16:00,1.215
"1956-07-31",17:00,1.213
"1956-07-31",18:00,1.210
"1956-07-31",19:00,1.210
"1956-07-31",20:00,1.210
"1956-07-31",21:00,1.212
"1956-07-31",22:00,1.213
"1956-07-31",23:00,1.215
"1956-08-01",0:00,1.218
"1956-08-01",1:00,1.220
"1956-08-01",4:00,1.227
"1956-08-01",5:00,1.2295
"1956-08-01",6:00,1.2308
"1956-08-01",8:00,1.2344
"1956-08-01",11:00,1.233
"1956-08-01",12:00,1.2297
"1956-08-01",13:00,1.2223
"1956-08-01",14:00,1.218
"1956-08-01",15:00,1.212
"1956-08-01",18:00,1.199
"1956-08-01",19:00,1.197
"1956-08-01",20:00,1.197
"1956-08-01",21:00,1.199
"1956-08-01",22:00,1.200
"1956-08-01",23:00,1.203
"1956-08-02",0:00,1.208
"1956-08-02",1:00,1.212
"1956-08-02",4:00,1.220
"1956-08-02",5:00,1.2235
"1956-08-02",7:00,1.224
"1956-08-02",9:00,1.2215
"1956-08-02",10:00,1.218
"1956-08-02",12:00,1.214
"1956-08-02",14:00,1.202
"1956-08-02",15:00,1.199
"1956-08-02",18:00,1.188
"1956-08-02",19:00,1.185
"1956-08-02",20:00,1.184
"1956-08-02",22:00,1.184
"1956-08-02",23:00,1.188
"1956-08-03",0:00,1.190
"1956-08-03",2:00,1.196
"1956-08-03",3:00,1.199
"1956-08-03",4:00,1.200
"1956-08-03",5:00,1.206
"1956-08-03",6:00,1.207
"1956-08-03",7:00,1.208
"1956-08-03",8:00,1.207
"1956-08-03",9:00,1.203
"1956-08-03",12:00,1.194
"1956-08-03",13:00,1.190
"1956-08-03",15:00,1.180
"1956-08-03",16:00,1.177
"1956-08-03",17:00,1.173
"1956-08-03",18:00,1.1705
"1956-08-03",19:00,1.170
"1956-08-03",21:00,1.171
"1956-08-03",22:00,1.174
"1956-08-03",23:00,1.176
"1956-08-04",0:00,1.179
"1956-08-04",1:00,1.183
"1956-08-04",3:00,1.190
"1956-08-04",4:00,1.195
"1956-08-04",5:00,1.197
"1956-08-04",6:00,1.198
"1956-08-04",7:00,1.199
"1956-08-04",8:00,1.200
"1956-08-04",10:00,1.198
"1956-08-04",11:00,1.195
"1956-08-04",12:00,1.190
"1956-08-04",13:00,1.187
"1956-08-04",14:00,1.185
"1956-08-04",15:00,1.180
"1956-08-04",16:00,1.177
"1956-08-04",17:00,1.173
"1956-08-04",18:00,1.170
"1956-08-04",19:00,1.169
"1956-08-04",20:00,1.170
"1956-08-04",21:00,1.172
"1956-08-05",0:00,1.180
"1956-08-05",1:00,1.185
"1956-08-05",2:00,1.191
"1956-08-05",3:00,1.196
"1956-08-05",4:00,1.205
"1956-08-05",5:00,1.212
"1956-08-05",6:00,1.220
"1956-08-05",7:00,1.227
"1956-08-05",8:00,1.231
"1956-08-05",9:00,1.234
"1956-08-05",10:00,1.239
"1956-08-05",11:00,1.240
"1956-08-05",12:00,1.242
"1956-08-05",13:00,1.244
"1956-08-05",14:00,1.242
"1956-08-05",15:00,1.241
"1956-08-05",16:00,1.239
"1956-08-05",17:00,1.236
"1956-08-05",18:00,1.236
"1956-08-05",19:00,1.235
"1956-08-05",20:00,1.235
"1956-08-06",0:00,1.236
